id;employee_id;rfid_id;fingerprint;is_active
1;62163;unleash Ergonomic;../fake-data/blob/hipster.txt;6421
2;74319;mobile panel;../fake-data/blob/hipster.txt;12031
3;52715;target array;../fake-data/blob/hipster.txt;55898
4;647;non-volatile Rubber Equatorial;../fake-data/blob/hipster.txt;89197
5;6085;Chips Liaison input;../fake-data/blob/hipster.txt;6285
6;71243;Plastic;../fake-data/blob/hipster.txt;64600
7;73452;networks array Corporate;../fake-data/blob/hipster.txt;36314
8;14049;Rhode Iraqi Program;../fake-data/blob/hipster.txt;20405
9;84986;interface;../fake-data/blob/hipster.txt;49594
10;38204;Beauty Savings;../fake-data/blob/hipster.txt;80907
