id;date_calculated;employee_id;undertime;overtime;overtime_offday;total_salary
1;2023-10-30T07:06:09;12400;Steel;Concrete Fresh Peso;Group alarm;azure
2;2023-10-29T20:00:38;33942;Awesome Architect;Tonga Frozen;Industrial program digital;Synergistic task-force
3;2023-10-30T14:05:58;88313;Interactions Assistant groupware;Indonesia;Intranet JSON dynamic;Singapore back-end
4;2023-10-29T17:23:39;6802;neural;revolutionize;San;Tennessee Chief
5;2023-10-29T18:46:24;50474;help-desk;neural Connecticut;Dale;online
6;2023-10-29T23:14:36;51842;red embrace;Rupee payment SDD;Engineer Incredible Sleek;protocol microchip
7;2023-10-30T06:16:34;28559;Ergonomic drive;Steel;schemas;Tokelau Account
8;2023-10-30T02:29:40;75074;extranet;Small Director;SQL;Tokelau Incredible
9;2023-10-29T18:42:36;35127;azure payment Centralized;Roads Shoes;Senegal parallelism;Green primary
10;2023-10-30T05:44:24;93020;Dollar;Producer Sleek;Steel framework Borders;Macedonia Customer-focused Card
